,random_text,origin_text,label
51,Langnese Honig9,Langnese Honig,0 1
52,Thunfisch in 01,Thunfisch in Öl,0 0 1
53,Weltme1sterbrot,Weltmeisterbrot,1
54,PENNY Mayonna1seB,PENNY Mayonnaise,0 1
55,UB Basmati Rei1S,UB Basmati Reis,0 0 1
56,Werthers Urigina,Werthers Origina,0 1
57,Ber1da achs,Berida Lachs,1 1
58,UB Basmati ReisS,UB Basmati Reis,0 0 1
59,Penny UIiveno,Penny OIivenöl,0 1
60,!ngwer ,Ingwer ,1
61,Ik !ngwer Lemon,Tk Ingwer Lemon,1 1 0
62,2itronen 500g,Zitronen 500g,1 0
63,herry Romatom.,Cherry Romatom.,1 0
64,INDERFHUERNCHEN,KINDERHOERNCHEN,1
65,Coca Cola 2,Coca Cola 2L,0 0 1
66,PENNY 01,PENNY ÖL,0 1
67,Langnese Honi9,Langnese Honig,0 1
68,PENNY Champ1gno,PENNY Champignon,0 1
69,"Cherry, Romaton.",Cherry Romatom.,1 1
70,NaschtOmaten,Naschtomaten,1
71,OM 01iven o. S,OM Oliven o. S,0 1 0 0
72,Blatterteiggebäck,Blätterteiggebäck,1
73,Fairtrade tookies,Fairtrade Cookies,0 1
74,"SANI H-MILCH 1,5%","MILSANI H-MILCH 1,5%",1 0 0
75,PAPR1KA,PAPRIKA,1
76,ure Gurken,Saure Gurken,1 0
77,AEPFAL,AEPFEL,1
78,DE BEUKEL.GRANO,DE BEUKEL.GRANOLA,0 1
79,Yogurette L1m,Yogurette Limette,0 1
80,Vollkornbroa,Vollkornbrot,1
81,SalmiaStangen,Salmiak-Stangen,1
82,KOKOSNUSS-ST,KOKOSNUSS,1
83,ORE FRPPE,OREO FRAPPE,1 1
84,APFR MINERALWA,APFEL MINERALWA,1 0
85,APfel 5kg VKE US,Apfel 5kg VKE QS,1 0 0 1
86,Birnen ikg UKE,Birnen 1kg VKE,0 1 1
87,Kaki/Sharan Tkg VKE,Kaki/Sharon 1kg VKE,1 1 0
88,Burger-Gurk,Burger-Gurken,1
89,Gurken St,Gurken ST,0 1
90,Lauch/Parree st,Lauch/Porree ST,1 1
91,Braccoli 5E,Broccoli Mix,1 1
92,SPRAprika 3009 VKE,Spitzpaprika 500g VKE,1 1 0
93,Tnaaten 3009 VKE,Tomaten 500g VKE,1 1 0
94,Heidelbeeren 300g UKE,Heidelbeeren 300g VKE,0 0 1
95,Hiubeeren 1259 VKE,Himbeeren 125g VKE,1 1 0
96,Chinakoh kg,Chinakohl kg,1 0
97,lglo Fischstäbchen,Iglo Fischstäbchen,1 0
98,P12za Arrabbiata,Pizza Arrabbiata,1 0
99,Krust1 Bröt,Krusti Bröt,1 0
100,TEMPO SEN,TEMPO LINSEN,0 1
101,SUPER DIoMAN,SUPER DICKMANNS ,0 1
102,MIRACOLI SPAGEHT,MIRACOLI SPAGEHTTI,0 1
103,EDK Rispentom,"EDK Rispentom, ",0 1
104,Knoblauch Ö,Knoblauch Öl,0 1
105,1Cola Zero,Cola Zero,1 0
106,"Coca-Cola Ze.0,331","Coca-Cola Ze.0,33l",0 1
107,Champigrions,Champignons,1
108,4EDK Mini Pak Choi,EDK Mini Pak Choi,1 0 0 0
109,Sammys Sandwic,Sammys Sandwich,0 1
110,G&t Jasmin Reis,G&G Jasmin Reis,1 0 0
111,G&G BroCcol1,G&G Broccoli,0 1
112,ES Schn.Bratw.veg.,Es schm.Bratw.veg.,1 1
113,WSH Gefi.Jagdwurst,WSH Gefl.Jagdwurst,0 1
114,Lays Ch1ps gesa,Lays Chips gesalz,0 1 1
115,EDK Mandarin,EDK Mandarinen,0 1
116,"Coca-Cola 4x0,33","Coca-Cola 4x0,33l",0 1
117,Ferrero ROcier,Ferrero Rocher,0 1
118,GRIESSPUDDING,GRISSPUDDING,1
119,BIO BLATSPINAT,BIO BLATTSPINAT,0 1
120,"Cola Zero 0,331","Cola Zero 0,33l",0 0 1
121,Spritz Rhabar,Spritz Rhabarber,0 1
122,"Corona Ext.0,3551","Corona Ext.0,355l",0 1
123,"Fanta Orange 0,331","Fanta Orange 0,33l",0 0 1
124,"Sam.App E C,0,331","2x Som.Apple C.0,33l",1 1 1
125,HAHN.BRUSTF. TEILST. QS,HÄHN.BRUSTF. TEILST. QS,1 0 0
126,"NANEN 0,438kg","BANANEN 0,438kg",1 0
127,"SCHWETNEFILET-QS, GANZ","SCHWEINEFILET-QS, GANZ",1 0
128,PAPRIKA MIx,PAPRIKA MIX,0 1
129,B1o N.Pur Wurst,Bockwurst Rote Wurst,1 1 0
130,"Coke Zero 0,51","Cola Zero 0,5l",1 0 1
131,"ILCH 1, 8%","FR. MILCH 1,8%",1 1 1
132,CASHEHKERNE GERO,CASHEWKERNE GERO,1 0
133,RUCHER,ROCHER,1
134,STREICHFETI,STREICHFEIN,1
135,GtG Hackfleisch,G+G Hackfleisch,1 0
136,ngwer,Ingwer,1
137,G8G Sehmittlauch,G&G Schnittlauch,1 1
138,Nords.Backfise,Nords.Backfisch,1
139,M1Tr.Schlagsahne,Milr.Schlagsahne,1
140,G&G Efer BDH 10ST,G&G Eier BDH 10ST,0 1 0 0
141,Oreo Original Van,Oreo Original Van. ,0 0 1
142,G&G MILCHREIS,G&G MILCHREIS ,0 0
143,SCHWEINESCHWANZE,SCHWEINESCHWÄNZE,1
144,G&G HAH.INNENFIL,G&G HÄH.INNENFIL.,0 1
145,THUNF IN OEL,TUNF IN OEL,1 0 0
146,SCHALRIPPCHEN,SCHÄLRIPPCHEN,1
147,SUBKARTOFFELN,SÜßKARTOFFELN ,1
148,GisG $TEFNOFENPIZZA,G&G STEINOFENPIZZA,1 1
149,GG FRUEHLINGSRO 4,G+G FRUEHLINGSRO 4,1 0 0
150,"WAGINER, FLAMMKUCHEN",WAGNER FLAMMKUCHEN,1 0
151,TADIM MAIS BARBEO.,TADIM MAIS BARBEQ.,0 0 1
152,SKITTLES CRAZY SO,SKITTLES CRAZY SO.,0 0 1
153,SAN PELLE LIMONATA,SAN PELLE ARANCIATA,0 0 1
154,VEHAPPY SOJAGURI,VEHAPPY SOJAGURT,0 1
155,ReF CHIPSFR UNGAR,F-F CHIPSFR UNGAR,1 0 0
156,SW OLIVEN O STE,SW OLIVEN O STEIN,0 0 0 1
157,CHAMP 0FENKAESE 18,CHAMP OFENKÄSSE 18,0 1 0
158,Landbrotchen,Landbrötchen,1
159,Meerrettich,Meerrettich ,0
160,Mandarinen lose,Mandarinen lose ,0 0
161,Frueh Koelsch500m1,Frueh Koelsch500ml,0 1
162,Thunfisch 1.Wasser,Thunfisch i.Wasser,0 1
163,Schmelzkaesezub,Schmelzkaesezub.,1
164,RheinFleischwsalat,RheinFleischwSalat,1
165,Gouda mittela.,Gouda mittela,0 1
166,Geflügel-Frischwur,Geflügel-Fleischwur,1
167,TOMA D'OR,TOMA D’OR,0 1
168,TCMATEN SWEE,TOMATEN SWEE,1 0
169,Apfel Morgana,Äpfel Morgana,1 0
170,Frischkaese Iworog,Frischkaese Tworog,0 1
171,WEISSKOHL,WEISKOHL,1
172,Hoernchennudeln,Hoernchenudeln,1
173,Wrigleys Extra i,Wrigleys Extra I.,0 0 1
174,Kinder Riegei,Kinder Riegel,0 1
175,CC 1ig.Ze.Fa. 6x,CC lig.Ze.Fa. 6x,0 1 0
176,Kartoffeln fk2.5kg,Kartoffeln 2.5kg,0 1
177,Rispentomaten ose,Rispentomaten lose,0 1
178,Apfel Granny Smith,Äpfel Granny Smith,1 0 0
179,"KROMB.PILS 0,5t","KROMB.PILS 0,5L",0 1
180,Grli SAL2STANGEN,G&G SALZSTANGEN,1 1
181,ERDNUBL0CKEN,ERDNUSSLOCKEN,1
182,LAYS BUGLES NADHO,LAYS BUGLES NACHO,0 0 1
183,G- JOGHURTKNUSPE,G+G JOGHURT+KNUSPE,1 1
184,GiG CHIPS PAPRIRA,G&G CHIPS PAPRIKA,1 0 1
185,G-G KAFFEEWEISSER,G+G KAFFEEWEISSER,1 0
186,DTAM.HURFELZUCKER,DIAM.WÜRFELZUCKEN,1
187,G-6 MINI HOERNCHEN,G+G MINI HOERNCHEN,1 0 0
188,"KON.PILSENER 0,5","KON.PILSENER 0,5L",0 1
189,"J.BEAM&COLA 0,33","J.BEAM&COLA 0,33L",0 1
190,URST,WURST,1
191,G-G ZUCKER,G+G ZUCKER,1 0
192,PAPRIKA RUI,PAPRIKA ROT,0 1
193,KIHORR SALATKRONU.,KNORR SALATKRÖNU.,1 1
194,G-G FRUECHTETEE,G+G FRUECHTETEE,1 0
195,TOMATEN 250,TOMATEN 250G,0 1
196,0S ZWIEBELN,OS ZWIEBELN,1 0
197,GG VOLLK.SANDWICH,G&G VOLLK.SANDWICH,1 0
198,DR.OETKER KUCHEN,DR.OETKER KUCHEN ,0 0
199,LANDIL VANILL,LANDL VANILL,1 0
200,CHGCOMEL 1,CHOCOMEL 1L,1 1
201,PUPCORN SWEET&SALT,POPCORN SWEET&SALT,1 0
202,"M.ARTINE BIAN.0,75L","MARTINI BLAN.0,75L",1 1
203,ANDMTLCH IL,LANDMILCH 1L,1 1
204,ELER BOH/GR KL/KL,EIER BOH/GR XL/KL,1 0 1
205,KrRIOFFELN LUSE,KARTOFFELN LOSE,1 1
206,BISTRD BAGUETIE 25,BISTRO BAGUETTE 25,1 1 0
207,GG KN.BAGUETTE,G&G KN.BAGUETTE,1 0
208,MLLCHSCHNITT,MILCHSCHNITT,1
209,MUH SCHORO DRINK,MUH SCHOKO DRINK,0 1 0
210,GG TOR.CHIPS PAP,G&G TOR.CHIPS PAP.,1 0 1
211,ECHALOTTEN 2506,SCHALOTTEN 250G,1 1
212,D DARFST LEBERMU,DU DÄRFST LEBERWU.,1 1 1
213,LAUCHZWTEBELN,LAUCHZWIEBEN,1
214,B0 PJLZE SHITAK,BIO PILZE SHIITAKE,1 1 1
215,GeG FRISCHKASE,G&G FRISCHKÄSE,1 1
216,TR FR SMOOTHIE /50,TR FR SMOOTHIE 750,0 0 0 1
217,JALAPENO5,JALAPENOS ,1
218,Bi0 E.ESPRESSO,BIO E.ESPRESSO,1 0
219,AFELTRAUBEN,TAFELTRAUBEN,1
220,BALLENSALAT,BALKANSALAT,1
221,Blátterteig,Blätterteig,1
222,Rührkucher Marmor,Rührkuchen Marmor,1 0
223,Peperoni Hix,Peperoni Mix,0 1
224,Irauben Nuss Müsli,Trauben Nuss Müsli,1 0 0
225,KolIn Müusli Keks,Kölln Müsli Keks,1 1 0
226,"H-Milch 3,5% DGT","H-MILCH 3,5% OGT",1 0 1
227,Thunf.Skipj.ejg.Sart,Thunf.in.eig.Saft,1
228,Wasser still,Wasser Still,0 1
229,"Coca Cola 1,251","Coca Cola 1,25l",0 0 1
230,Durün Wiaps,Dürüm Wraps,1 1
231,"raub dunk S0g,",Traub dunk 500g,1 0 1
232,Speisekatoffeln,Speisekartoffeln,1
233,Mchren 1kg,Möhren 1kg,1 0
234,Fruchtzwerget Barnane,Fruchtzwerge Banane,1 1
235,Scnnenblumenjl 1,Sonnenblumenöl 1l,1 1
236,Bio FusilTi,Bio Fusilli,0 1
237,Überraschungsei,Überraschungsel,1
238,Schokabrötchen,Schokobrötchen,1
239,lucchini kg,Zucchini kg,1 0
240,Paarika rot kg,Paprika rot kg,1 0 0
241,Knoblauch,Knoblauch ,0
242,Zwjebeln gelb,Zwiebeln gelb,1 0
243,Bio Höhren,Bio Möhren,0 1
244,Huhnerfrikassee,Hühnerfrikassee,1
245,Kakt/Sharon,Kaki/Sharon,1
246,Bockwiirstchen ITW2,Bockwürstchen ITW2,1 0
247,Cola 119ht,Cola light,0 1
248,Ku.kernbrotcnen,Kü.kernbrötchen,1
249,Muffins dunke1,Muffins dunkel,0 1
250,Kürbis Butt. kg,Kürbis Butt. Kg,0 0 1
251,Zitronen 7500,Zitronen 750g,0 1
252,"Paprika rot, spitz","Paprika rot, Spitz",0 0 1
253,Weichkäse 0GT,Weichkäse OGT,0 1
254,Rohrzucker Fairglohe,Rohrzucker Fairglobe,0 1
255,Weizenmehl Tkg,Weizenmehl 1kg,0 1
256,Bio 0livenöl extra,Bio Olivenöl extra,0 1 0
257,"ROHSCHINK. GEW,",ROHSCHINK. GEW,0 1
258,"Kartoffeln 2,5kg",Kartoffeln 2.5kg,0 1
259,INSTANTNUDELN,INSTANINUDDELN,1
260,kinder bueno W.,Kinder bueno W.,1 0 0
261,PY Miwa medlum,PY Miwa medium,0 0 1
262,Meggle Kráuterbu,Meggle Kräuterbu,0 1
263,GEFLUEGELWIENER,GEFLUGELWIENER,1
264,Pepsi Cola MAx,Pepsi Cola Max,0 0 1
265,Frischkāse Natur,Frischkäse Natur,1 0
266,ULUDAG GAZOS,ULUDG GAZOS,1 0
267,MIlka Kuhflecken,Milka Kuhflecken,1 0
268,Milka Ganze H,Milka Ganze H.,0 0 1
269,"MIka Alpen, +LU",Milka Alpen. +LU,1 1 0
270,COLA MAX VANTLLA,COLA  MAX VANILLA,0 0 1
271,Champignons weib,Champignons weiß,0 1
272,SANDWICH PUTE,SANDWICH PUTE ,0 0
273,VANILLINZUCKER,VANILLINZUCKER ,0
274,BACKPULVER,BACKPULVER ,0
275,Jodsalz2,Jodsalz,1
276,PY Miwa CLassic,PY Miwa Classic,0 0 1
277,PENNY OL,PENNY ÖL,0 1
278,PENNY ERDNUESSE,PENNY ERDNUSSE,0 1
279,PENNY CAV QUICK,PENNY CAVI QUICK,0 1 0
280,TIC TAC BERRYMIX,TIC TAC STRAWBERRYMIX,0 0 1
281,San Fab10 Pizza,San Fabio Pizzabrötchen,0 1 1
282,Salather 2en,Salatherzen Roma,1 1
283,St. Man9 Limbur9,St. Mang Limburg,0 1 1
284,"CC Zero 6x1,251","CC Zero 6x1,25l",0 0 1
285,Donut Scheko,Donut Schoko,0 1
286,SAHNEP VANILLE,SAHNEP. VANILLE,1 0
287,BOCKHURST IN EH,LANDBOCKWURST IN EI,1 0 1
288,Toftitee,Toffifee,1
289,HAFERDRINR,HAFERDRINK,1
290,F-F CHIPSFRISCH PAP,F-F CHIPSFRISCH PAP.,0 0 1
291,Willisauer  RINGLI,Willisauer Ringli,0 1
292,Po Protein Bar,Pro Protein Bar,1 0 0
293,VOLVIC TEE PFIR,VOLVI TEE PFIR,1 0 0
294,Red Bul1 Dose,Red Bull Dose,0 1 0
295,OM 01fven o. St,OM Oliven o. St.,0 1 0 1
296,OM getr. Tom. 01,OM getr. Tom. Öl,0 0 0 1
297,Gewürzspekulatiu,Gewürzspekulatius,1
298,"FELDSALAT MIX,",FELDSALAT MIX,0 1
299,"FRUJO 1,8% ERDB","FETJO 1,8% ERDB",1 0 0
300,Messmer Earl Gre,Messmer Earl Grey,0 0 1
301,HA-Chicken Wings,HÄ-Chicken Wings,1 0
302,CALCIUM MILC,CALCIUM MILCH,0 1
303,BIO WAISWAFFEL,BIO MAISWAFFEL,0 1
304,"Piz, Margherita",Piz. Margherita,1 0
305,"Tumaten, gehackt","Tomaten, gehackt",1 0
306,Mini Gemüse Nug,Mini Gemüse Nuggets,0 0 1
307,Mayornaise,Mayonnaise,1
308,Weizen-Sandwich,Weizen-Sandwich ,0
309,GulaschSUppe,Gulaschsuppe,1
310,Becks Pils 500m1,Becks Pils 500ml,0 0 1
311,POM-BAR 70,PRO-BAR 70,1 0
312,Früchte tae,Früchte Tee,0 1
313,Bi0-Kaiserbrötochen,Bio-Kaiserbrötchen,1
314,Bio-Milch 3.8% 1L,"Bio-Milch 3,8% 1L",0 1 0
315,Fraicho0,Fraiche,1
316,Apfel rot Tkg,Apfel rot 1kg,0 0 1
317,WaInussbrötchen,Walnussbrötchen,1
318,"Miwa still 6x 1,51","Miwa still 6x 1,5l",0 0 0 1
319,Mezzo M,Mezzo Mix,0 1
